"ITEM","XORDER","XREF","XKEY","XKET_EXT","DATA"
"SGL",1001,"ResCF-10kRQW",2,"R2, R5",
"SGL",1002,"ResCF-1k8RQW",3,"R3, R4, R6",
"SGL",1003,"ResCF-100kRQW",1,"R1",
"SGL",1004,"ResNet-10k4+C",1,"RR1",
"SGL",2001,"1N4001",1,"D1",
"SGL",2002,"1N4148",32,"For switch isolation",
"SGL",2003,"LED-3mmYLC",1,"LD1",
"SGL",2004,"LED-3mmGLC",1,"LD2",
"SGL",3001,"CapRE-100u/25V",1,"C1",
"SGL",3002,"CapTB-10u/16V",1,"C4",
"SGL",3003,"CapTB-4.7u/16V",1,"C2",
"SGL",3004,"CapRC-100n/50V2.5",4,"C3, C5, C6, C7",
"SGL",4001,"FDV304P",4,"Q1 - Q4",
"SGL",4002,"MCP2551-I/P",1,"U1",
"SGL",4003,"PIC18F26K80-I/SP",1,"U4",
"SGL",4003,"CD74HC238E",1,"U2",
"SGL",4005,"TLC5917N",1,"U5",
"SGL",5001,"R-78E5.0-0.5",1,"U3",
"SGL",5002,"RzPC-4M",1,"X1",
"SGL",5003,"SWTact-4.3mm",1,"S1",
"PCK",5004,"SRH-p1-36",6,"J2",
"SGL",5005,"TB-3.5-2",2,"J1",
"SGL",5006,"Sock-SPCB-D25",1,"J3",
"SGL",5007,"Plug-SL-D25",1,"(J3)",
"SGL",5008,"BoxH-p1-2x13",1,"J4",
"SGL",6001,"SocDIL-28",1,"(U4)",
"SGL",6002,"SocDIL-16",2,"(U2), (U5)",
"SGL",6003,"SocDIL-8",1,"(U1)",
"SGL",7001,"CANPAN PCB",1,,
"SGL",8001,"BagSS-75x85",3,,
"SGL",8002,"BagSS-140x140",1,,
"SHT",8003,"ASFoam","65x35",,
