"ITEM","XORDER","XREF","XKEY","XKET_EXT","DATA"
"SGL",1001,"ResCF-10kRQW",4,"R1, R2, R3, R7",
"SGL",1002,"ResCF-1k8RQW",3,"R4, R5, R12",
"SGL",1003,"ResCF-2k2RQW",1,"R9",
"SGL",1004,"ResWW-4R7/0.5W",1,"R6",
"SGL",1005,"ResWW-1R2/0.5W",1,"R8",
"SGL",1006,"ResWW-0R1/3W",1,"R11",
"SGL",3007,"1N4002",10,"D1 - D10",
"SGL",1007,"UF4002",2,"D11, D12",
"SGL",1008,"1N4148",2,"D13, D14",
"SGL",3004,"LED-3mmYLC",1,"LD1",
"SGL",3005,"LED-3mmGLC",1,"LD2",
"SGL",3006,"LED-3mmRLC",1,"LD3",
"SGL",3001,"CapRE-2200u/35V",1,"C3",
"SGL",3002,"CapRE-470u/35V",1,"C6",
"SGL",3003,"CapRE-220u/25V",1,"C1",
"SGL",1009,"CapTB-10u/16V",1,"C8",
"SGL",1011,"CapTB-4.7u/16V",3,"C2, C4, C5",
"SGL",1012,"CapRC-100n/50V2.5",1,"C7",
"SGL",1013,"CapRC-22p/100V2.5",2,"C9, C10",
"SGL",2001,"STP55NF06L",8,"Q1 - Q8",
"SGL",1014,"ZTX1149A",1,"Q9",
"SGL",1015,"2N4401",1,"Q10",
"SGL",4001,"MCP2562-I/P",1,"U1",
"SGL",3016,"L7805CV",1,"U2",
"SGL",4002,"PIC18F26K80-I/SP",1,"U3",
"SGL",4003,"MIC4426",1,"U4",
"SGL",3008,"SWTact-4.3mm",1,"S1",
"SGL",4004,"SWDIL-6w",1,"DIP1",
"PCK",3009,"SRH-p1-36",6,"J2",
"SGL",3011,"TBSE-10A-3.5-4",1,"J1",
"SGL",3012,"TBPL-10A-3.5-4",1,"J1",
"SGL",3013,"TBSE-10A-3.5-3",4,"J3-J6",
"SGL",3014,"TBPL-10A-3.5-3",4,"J3-J6",
"SGL",3015,"Xyl-4MLP",1,"X1",
"SGL",5001,"CANSOL PCB",1,,
"SGL",6001,"BagSS-55x75",2,,
"SGL",6002,"BagSS-100x140",1,,
"SHT",4007,"ASFoam","65x35",,
"SGL",4005,"SocDIL-28",1,"(U3)",
"SGL",4006,"SocDIL-8",2,"(U1), (U4)",
