"Title","Description","SGL","KL3M","Group"
"36A","SD3 - Colour Light Signal Driver",0,0,1
"37a","PD3-1000 Dual Capacitor-assisted Turnout Motor Driver",6,2,1
"37b","PD3-2200 Dual Capacitor-assisted Turnout Motor Driver",7,6,1
49,"12VDC CDU Solenoid Driver",8,9,1
60,"5V DC Adaptor Kit",25,8,1
61,"Gas Lamp Twinkler",16,12,1
68,"2ch DC or DCC diode drop Block Detector (Train-on-Track-Indicator, ToTi-2)",15,14,1
69,"±5V Dual Power Supply Regulator kit for ToTI Kits",14,11,1
"72A","Dual Hector, Infra-red train detector kit ",24,11,1
"72B","Hector Double Sensor Head kit",13,0,1
"75A","Servo4-G",45,66,1
"76B","ServoSet2, Setting box for kit 75, Servo4",0,9,1
77,"Servo1 Single Servo Driver",17,24,1
"77R","Servo1R Single Servo Driver with Relay",37,12,1
"77RM","Servo1R Servo Driver 5 Multipack",11,2,1
"77S","Setting Box for kits 77 & 77R",21,7,1
79,"Turntable Controller (Stepper Motor)",2,6,1
"79C","Turntable Control Pack",9,5,1
470,"Dapol Signal Conversion Kit",17,8,1
"59A","DCC Booster Kit NB2",3,24,2
57,"DCC District Cutout",42,43,2
52,"DCC Accessory Decoder (pulsed outputs)",16,2,2
"53A","DCC Accessory Decoder (steady state output for constant drive turnouts, eg Tortoises) 4-channel Bipolar",16,20,2
50,"2ch DCC only Current Transformer Block Detector, DTC2",42,119,2
"56A","8ch DCC only Current Transformer Block Detector, DTC8",30,65,2
175,"Frog Polarity Switch (FPS)",28,152,2
177,"DCC Single Servo Decoder",0,0,2
110,"Arduino CAN Shield",3,13,3
793,"26SWG Solder",48,30,4
794,"Bending Jig",47,17,4
795,"Track/PCB Cleaner block",19,10,4
799,"Measure of Patience",0,0,4
"7921E","CANCAB2 Rotary Encoder for Kit 92E",5,5,5
673,"CAB Holder",24,18,5
721,"BT 47W/6H PCB Relay (12v 960 ohms)",0,0,5
"472A","Telescope Ferrule for Dual Hector",29,4,5
676,"Uses CBUS Label",170,4,5
677,"CBUS Free Zone Label",41,0,5
"678A","RJ22 Twin Faceplate",234,18,5
"679A","MERG Publicity Label",110,11,5
"93AH","CAB Plug-in Point with horizontal RJ22 sockets",21,25,5
"93AV","CAB Plug-in Point with vertical RJ22 sockets",17,32,5
498,"Voltage Detector Dongle Kit for CBUS",85,47,5
"498F","Voltage Detector Dongle Kit inc with K80 CBUS PIC",66,97,5
625,"4-way Pluggable Connectors : 5 Pack",65,25,5
"764A","Label fascia for CANCAB2 Handset Kit 92P/E",9,0,5
7919,"Spacer/Bracket sprue for CANCAB2",7,3,5
6920,"Tactile Switch for CANCAB",1,55,5
6921,"Button Cap for CANCAB - Ivory",31,21,5
6922,"Button Cap for CANCAB - Black",20,7,5
6923,"Button Cap for CANCAB - Yellow",44,2,5
6924,"Button Cap for CANCAB - Red",27,2,5
6925,"Button Cap for CANCAB - Green",48,0,5
6926,"Button Cap for CANCAB - Blue",45,1,5
7921,"100k Speed Pot for CANCAB",6,4,5
7999,"Warranty Spares",19,2,5
758,"FDV304P SMD CBUS Transistors (4)",11,0,5
788,"MCP23017 Expander IC for EzyBus Input Module",0,8,6
781,"TBD62083APG MOSFET Driver",18,4,6
783,"L6388E Half Bridge MOSFET Driver",7,0,6
784,"CD74HC238 Decoder/Multiplexer",22,32,6
785,"TLC5917N LED Driver",15,25,6
786,"MCP2561FD CAN Transceiver",14,3,6
787,"MIC4426YN MOSFET Driver",1,4,6
"775P-OUT","ATMEGA328P-PU",9,13,6
"724P","EzyBus Controller Microprocessor",10,5,6
755,"MCP2551-I/P CAN Transceiver",29,7,6
756,"MCP2562-E/P CAN Transceiver",25,31,6
759,"MCP2515-I/P",0,5,6
798,"MCP111",0,0,6
9152,"Layout Power Distribution PCB",17,13,7
960,"PCB for Unversal PSU",4,3,7
150,"RJ45 4-way Interconnector",0,0,7
9461,"PCB for SMD Gas Lamp Twinkler",4,0,7
9151,"LCB Connector Board PCB",18,14,7
9470,"PCB for Dapol Signal Conversion",6,0,7
