"KLID","Title"
"G1","General Kits"
"G2","DCC Kits"
"G3","CBUS Explorer"
"G4","Tools"
"G5","Miscellaneous"
"G6","ICs"
"G7","General Kit PCBs"
"G8","Clearance"
"G9","Power Supplies"
"G10","CBUS PCBs"
"G11","SMD Starter Kits"
"G12","Servo Mounts"
"G13","Pocket Money Projects"
"G14","DCC PCBs"
"G15","PICs"
"G16","CBUS Advanced"
"G17","Test Modules"
"G18","Test Module PCBs"
"G19","PMK PCBs"
"G20","CBUS Beginner's Packs"
"G21","Pocket Money Kits"
"G22","EzyBus"
"G23","DCC Traction"
"G24","Bitz-in-Bag kits"
"G25","Connector Boards"
"G26","CBUS Basic"
"G27","ATC"
"G28","POSTAGE"
