"Title","Description","supplier","supplier PN","Supplier price"
"ResWW-0R1/3W","0R1 3W Wire Wound Resistor","farnell",1735066,
"R-78E5.0-0.5","DC/DC Converter R-78E5.0-0.5  5V 0.5A","farnell",2078564,
"ResWW-1R2/0.5W","1R2 0.5W Wire Wound Resistor","farnell",2329749,
"FDV304P","FDV304P SMD CBUS Transistor","farnell",2438464,
"TBSE-10A-3.5-4","4 way 10A 3.5mm Pitch Side Entry Header","farnell",2517860,
"TBPL-10A-3.5-4","4 Way 10A 3.5mm Pitch Free Plug","farnell",2575217,
"ZTX1149A","ZTX1149A PNP Bipolar Transistor","farnell",9526781,
"PIC12F675-I/P","PIC12F675-I/P Microcontroller 8-bit DIP8","kitlocker","PIC12F675-I/P",
"CANSOL PCB","CANSOL Rev D Solenoid Driver PCB","kitlocker","CANSOL PCB",
"MCP2551-I/P","MCP2551-I/P CAN Transceiver","kitlocker","MCP2551-I/P",
"PIC18F26K80-I/SP","PIC18F26K80-I/SP Microcontroller","kitlocker","PIC18F26K80-I/SP",
"PMK4a PCB","PMK4a rev2 PCB","kitlocker","PMK4a PCB",
"PMK15 PCB","PMK15 rev 2 PCB","kitlocker","PMK15 PCB",
"CANPAN PCB","CANPAN Mimic Panel Interface PCB","kitlocker","CANPAN PCB",
"MCP2562-I/P","MCP2562-I/P CAN Transceiver","kitlocker","MCP2562-I/P",
"PIC18F26K80-I/SP","PIC18F26K80-I/SP Microcontroller Preprogrammed","kitlocker","PIC18F26K80-I/SP",
"TLC5917N","TLC5917N LED Driver","mouser",1755252,
"CD74HC238E","CD74HC238E Decoder / Demultiplexer DIL16","mouser","595-CD74HC238E",
"MIC4426","MIC4426 Dual 1.5A Peak MOSFET Drive","mouser","998-MIC4426YN",
"CapRE-470u/35V","470uF 35V Radial Electrolytic Capacitor","rapid","11-0244",
"CapTB-4.7u/16V","4.7uF 16V 2.5mm Tantalum Bead Capacitor","rapid","11-1018",
"CapTB-10u/16V","10uF 16V 2.5mm Tantalum Bead Capacitor","rapid","11-1022",
