"Title","Description","supplier","supplier PN","Supplier price","Supplier URL"
"ResWW-0R1/3W","0R1 3W Wire Wound Resistor","farnell",1735066,0.7476,"https://uk.farnell.com/vishay/ac03000001007jac00/res-0r1-5-3w-axial-wirewound/dp/1735066"
"R-78E5.0-0.5","DC/DC Converter R-78E5.0-0.5  5V 0.5A","farnell",2078564,3.48,"https://uk.farnell.com/recom-power/r-78e5-0-0-5/dc-dc-converter-5v-0-5a/dp/2078564"
"ResWW-1R2/0.5W","1R2 0.5W Wire Wound Resistor","farnell",2329749,0.072,"https://uk.farnell.com/te-connectivity/cfr50j1r2/res-1r2-5-500mw-axial-carbon-film/dp/2329749"
"FDV304P","FDV304P SMD CBUS Transistor","farnell",2438464,0.4536,"https://uk.farnell.com/on-semiconductor/fdv304p/mosfet-p-25v-0-46-sot-23-full/dp/2438464"
"TBSE-10A-3.5-4","4 way 10A 3.5mm Pitch Side Entry Header","farnell",2517860,0.4872,"https://uk.farnell.com/imo-precision-controls/20-155mh-4-e/terminal-block-header-4pos-th/dp/2517860"
"TBPL-10A-3.5-4","4 Way 10A 3.5mm Pitch Free Plug","farnell",2575217,1.284,"https://uk.farnell.com/imo-precision-controls/20-1550m-4-e/tb-pluggable-4pos-28-16awg/dp/2575217"
"ZTX1149A","ZTX1149A PNP Bipolar Transistor","farnell",9526781,1.680,"https://uk.farnell.com/diodes-inc/ztx1149a/transistor-pnp-e-line/dp/9526781"
"PIC12F675-I/P","PIC12F675-I/P Microcontroller 8-bit DIP8","kitlocker","PIC12F675-I/P",,
"CANSOL PCB","CANSOL Rev D Solenoid Driver PCB","kitlocker","CANSOL PCB",,
"MCP2551-I/P","MCP2551-I/P CAN Transceiver","kitlocker","MCP2551-I/P",,
"PIC18F26K80-I/SP","PIC18F26K80-I/SP Microcontroller","kitlocker","PIC18F26K80-I/SP",,
"PMK4a PCB","PMK4a rev2 PCB","kitlocker","PMK4a PCB",,
"PMK15 PCB","PMK15 rev 2 PCB","kitlocker","PMK15 PCB",,
"CANPAN PCB","CANPAN Mimic Panel Interface PCB","kitlocker","CANPAN PCB",,
"MCP2562-I/P","MCP2562-I/P CAN Transceiver","kitlocker","MCP2562-I/P",,
"TLC5917N","TLC5917N LED Driver","mouser",1755252,,
"CD74HC238E","CD74HC238E Decoder / Demultiplexer DIL16","mouser","595-CD74HC238E",,
"MIC4426","MIC4426 Dual 1.5A Peak MOSFET Drive","mouser","998-MIC4426YN",,
"CapRE-470u/35V","470uF 35V Radial Electrolytic Capacitor","rapid","11-0244",0.090,"https://www.rapidonline.com/suntan-ts13de1v471msb0b0r-470uf-35v-20-10-17mm-p-5mm-radial-alum-elec-cap-11-0244"
"CapTB-4.7u/16V","4.7uF 16V 2.5mm Tantalum Bead Capacitor","rapid","11-1018",0.075,"https://www.rapidonline.com/suntan-ts19001c4r7msb0a0r-4-7uf-16v-2-5mm-tantalum-bead-capacitor-11-1018"
"CapTB-10u/16V","10uF 16V 2.5mm Tantalum Bead Capacitor","rapid","11-1022",0.110,"https://www.rapidonline.com/suntan-ts19001c100msb0a0r-10uf-16v-2-5mm-tantalum-bead-capacitor-11-1022"
"CapTB-330n/35V","330nF 35V  2.5mm Tantalum bead","rapid","11-1060",0.100,"https://www.rapidonline.com/suntan-ts19001vr33msb0a0r-0-33uf-35v-2-5mm-tantalum-bead-capacitor-11-1060"
"CapRC-470n/50V2.5","470nF 50V 2.5mm Ceramic Capacitor","rapid","11-3424",0.057,"https://www.rapidonline.com/suntan-ts170r1h474msbfa0r-0-47uf-20-50v-y5v-2-54mm-radial-ceramic-capacitor-11-3424"
"CapRC-22p/100V2.5","22pF 100V 2.5mm Radial Ceramic capacitor","rapid","11-3427",0.040,"https://www.rapidonline.com/suntan-ts170r2a220jsbna0r-22pf-5-100v-npo-p-2-54mm-radial-ceramic-capacitor-11-3427"
"CapRC-100n/100V2.5","100nF 100V 2.5mm Ceramic Capacitor","rapid","11-3442",0.050,"https://www.rapidonline.com/suntan-ts170r2a104ksbba0r-0-1uf-10-100v-x7r-2-54mm-radial-ceramic-capacitor-11-3442"
"CapRC-100n/50V2.5","100nF 50V 2.5mm Radial Ceramic Capacitor","rapid","11-3455",0.010,
"CapRE-100u/25V","100uF 25V Radial Electrolytic Capacitor","rapid","11-3509",0.060,
"CapRE-220u/25V","220uF 25V Radial Electrolytic Capacitor","rapid","11-3512",0.030,
"CapRE-2200u/35V","2200uF 35v Radial Electrolytic Capacitor","rapid","11-3533",13.000,
"BagSS-140x140","Self Seal Polythene Bag 140 x 140mm 160 gauge","rapid","14-0909",0.950,
"Plug-SL-D25","25 Way D-Type Solder Lug Plug","rapid","15-0110",277.000,
"Sock-SPCB-D25","25 Way Straight PCB D Type Socket","rapid","15-0750",3.030,
"BH-2032","CR2032  Coin Cell Battery Holder","rapid","18-0498",38.000,
"BoxH-p1-2x13","26 Way Straight Boxed Header 2.54mm Pitch","rapid","19-0037",135.000,
"TBLP-16A-5-2","2 Way 16A Low Profile Terminal Block 5mm Pitch","rapid","21-0461",0.110,
"TB-3.5-2","2 way 3.5mm Terminal Block","rapid","21-1500",0.080,
"TBSE-10A-3.5-3","3 way 10A 3.5mm Pitch Side Entry Header","rapid","21-3028",0.140,
"TBPL-10A-3.5-3","3 Way 10A 3.5mm Pitch Free Plug","rapid","21-3035",0.110,
"SocDIL-8","8 Pin DIL Socket  7.62 mm","rapid","22-0107",0.560,
"SocDIL-14","14 Pin DIL Socket  7.62 mm","rapid","22-0108",0.820,
"SocDIL-16","16 Pin DIL socket 7.62mm","rapid","22-0109",0.810,
"SocDIL-28","28 Pin DIL Socket 7.62mm","rapid","22-0114",0.840,
"SRH-p1-36","36 Way 2.54mm  Single Row Header","rapid","22-0545",2.730,
"JL2pC","2 Pin Closed Jumper Link","rapid","22-0690",,
"SB-25x64","Stripboard 25 x 64mm","rapid","34-0500",,
"STP55NF06L","STP55NF06L MOSFET Logic N 60V 55A","rapid","47-0550",,
"UF4002","UF4002 1A 100V Ultrafast Rectifier Diode","rapid","47-3156",,
"L7805CV","L7805CV TO220 5V 1A Voltage Regulator","rapid","47-3290",,
"1N4148","1N4148 75V 150mA Signal Diode","rapid","47-3416",,
"1N4001","1N4001 Rectifier Diode","rapid","47-3420",,
"1N4002","1N4002 Rectifier Diode","rapid","47-3422",,
"78L05-100mA","78L05 -100mA Voltage Regulator","rapid","47-3612",,
"1N4002","1N4002 Silicon Rectifier Diode 100V","rapid","47-3802",,
"BC557B","BC557B Transistor PNP TO92 45V","rapid","50-3119",,
"LED-3mmR","3mm LED - Red","rapid","55-0150",,
"LED-3mmRLC","3mm LED - Red Low Current","rapid","56-0400",,
"LED-3mmGLC","3mm LED - Green Low Current","rapid","56-0405",,
"LED-3mmYLC","3mm LED - Yellow Low Current","rapid","56-0410",,
"GL5528","GL5528 Light Dependent Photoresistor","rapid","58-0134",,
"RlyDPDT-12V1A","12V DPDT relay 1A","rapid","60-4692",,
"TCRT5000","TCRT5000 Optical sensor","rapid","60-8260",,
"ResCF-470RQW","470R 0.25W Carbon Film Resistor","rapid","62-0362",,
"ResCF-1k0RQW","1K0 0.25W Carbon Film Resistor","rapid","62-0370",,
"ResCF-1k8RQW","1K8 0.25W Carbon Film Resistor","rapid","62-0376",,
"ResCF-2k2RQW","2K2 0.25W Carbon Film Resistor","rapid","62-0378",,
"ResCF-10kRQW","10K 0.25W Carbon Film Resistor","rapid","62-0394",,
"ResCF-100kRQW","100K 0.25W Carbon Film Resistor","rapid","62-0418",,
"ResCF-4k7RHW","4R7 0.5W Carbon Film Resistor","rapid","62-0510",,
"ResNet-10k4+C","10K 5 Pin Commoned Resistor Network","rapid","63-0265",,
"ResTrim-10kSM","10K 0.1W 30% Linear Trimpot","rapid","68-1575",,
"PIC16F676-I/P","PIC16F676-I/P Microcontroller 8-bit DIP8","rapid","73-3692",,
"SWTact-4.3mm","4.3mm Miniature Rectangular SPST Tactile Switch","rapid","78-1120",,
"SWDIL-6w","DIL Switch 6-way 12-pin","rapid","80-0024",,
"BC547B","BC547B Transistor NPN TO92 45V","rapid","81-0468",,
"2N4401","2N4401 Transistor NPN TO92 40V","rapid","81-0487",,
"BagSS-75x85","Self Seal Polythene Bags 75 x 85 x 0.05mm","rapid","87-0590",,
"ASFoam","Conductive Foam","rapid","87-1528",,
"Xyl-4MLP","4MHz Crystal","rapid","90-1074",,
"RzPC-4M","4MHz 3-Pin Piezo-Ceramic Resonator","rapid","90-3565",,
"BagSS-100x140","Self Seal Polythene Bag 100 x 140mm 160 Gauge","rapid","14-0926",,
"BagSS-55x75","Self Seal Polythene Bag 55 x 75mm 160 gauge","rapid","14-0937",,
